Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
20-05-2014,18,26,21.4,90,14,2.7
21-05-2014,18,26.1,22.2,84,19.6,3.3
22-05-2014,18,25.9,21.3,91,1.7,5.2
23-05-2014,18,26.2,21.5,87,43.7,2.4
24-05-2014,19,26.2,21.7,86,8,3.4
25-05-2014,19,27.4,22.4,85,0,4
26-05-2014,19,27.2,21.7,92,1.8,4.4
27-05-2014,17,27,22.6,91,0.7,1
28-05-2014,20,25.4,22.3,92,1.9,4
29-05-2014,19,28.5,24,69,0,0.7
30-05-2014,17,27.4,21.8,87,0,7.4
31-05-2014,19,25.4,21,91,0.9,3.4
01-06-2014,18,27.2,21.8,83,9.7,0.9
02-06-2014,19,26.6,21.5,85,0,3.2
03-06-2014,18,27,21.5,78,0,1
04-06-2014,18,26.8,22.3,85,0,4.5
05-06-2014,19,25,21.9,91,6.1,3.3
06-06-2014,19,25.4,21.5,89,0.9,0.2
07-06-2014,19,27.8,22.3,86,0,0.9
08-06-2014,19,28.8,22.6,85,0,4.9
09-06-2014,19,28.6,22.8,82,0,5.6
10-06-2014,19,26.2,21.8,88,0,6
11-06-2014,20,28,23.1,87,0.4,0.6
12-06-2014,19,27.4,22.6,88,0,4.5
13-06-2014,20,26.2,21.2,93,0.2,3.7
14-06-2014,19,27,21.7,90,84.6,0
15-06-2014,18,24.6,21,89,11.6,2.6
